,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
434,Nosferatu,1922,7.9,,95157,,94
435,The Secret in Their Eyes,2009,8.2,80.0,206045,6.39,129
436,Gran Torino,2008,8.1,72.0,760391,148.1,116
437,Dark City,1998,7.6,66.0,197702,14.38,100
438,Straight Outta Compton,2015,7.8,72.0,196793,161.2,147
439,Match Point,2005,7.6,72.0,215734,23.09,124
440,Star Trek Into Darkness,2013,7.7,72.0,478779,228.78,132
441,I Saw the Devil,2010,7.8,67.0,125717,0.13,144
442,The Girl with the Dragon Tattoo,2009,7.8,76.0,215491,10.1,152
443,Mr. Nobody,2009,7.8,63.0,229714,0.0,141
444,Being John Malkovich,1999,7.8,90.0,329722,22.86,113
445,In the Mood for Love,2000,8.0,85.0,144393,2.73,98
446,The Elephant Man,1980,8.2,78.0,236552,,124
447,The Boat,1981,8.4,86.0,246629,11.49,149
448,When Harry Met Sally...,1989,7.7,76.0,212668,92.82,95
449,The Remains of the Day,1993,7.8,86.0,72886,22.95,134
450,The Royal Tenenbaums,2001,7.6,76.0,287028,52.36,110
